#query	target	q_length	bitscore	bsr	expect	aln_length	identity	ec	product
0_0	tr|B4SH10|B4SH10_PELPB	402	743.0	0.897342995169	0.0	404.0	86.386		Succinate dehydrogenase or fumarate reductase, flavoprotein subunit OS=Pelodictyon phaeoclathratiforme (strain DSM 5477 / BU-1) GN=Ppha_2852 PE=4 SV=1 K00239
0_0	tr|A1BCP4|A1BCP4_CHLPD	402	676.0	0.816425120773	0.0	404.0	78.96		Succinate dehydrogenase subunit A OS=Chlorobium phaeobacteroides (strain DSM 266) GN=Cpha266_0101 PE=4 SV=1 K00239
0_0	tr|B3EIF1|B3EIF1_CHLL2	402	666.0	0.804347826087	0.0	404.0	77.97		Succinate dehydrogenase or fumarate reductase, flavoprotein subunit OS=Chlorobium limicola (strain DSM 245 / NBRC 103803 / 6330) GN=Clim_2442 PE=4 SV=1 K00239
0_0	tr|A4SGX3|A4SGX3_CHLPM	402	666.0	0.804347826087	0.0	404.0	78.218		Succinate dehydrogenase subunit A OS=Chlorobium phaeovibrioides (strain DSM 265 / 1930) GN=Cvib_1722 PE=4 SV=1 K00239
0_0	tr|Q3AP93|Q3AP93_CHLCH	402	657.0	0.79347826087	0.0	404.0	75.743		Succinate dehydrogenase subunit A OS=Chlorobium chlorochromatii (strain CaD3) GN=Cag_1934 PE=4 SV=1 K00239
0_1	tr|B4SH09|B4SH09_PELPB	257	474.0	0.906309751434	1.24e-169	257.0	87.16		4Fe-4S ferredoxin iron-sulfur binding domain protein OS=Pelodictyon phaeoclathratiforme (strain DSM 5477 / BU-1) GN=Ppha_2851 PE=4 SV=1 K00240
0_1	tr|B3EIF0|B3EIF0_CHLL2	257	451.0	0.862332695985	1.3e-160	257.0	81.323		4Fe-4S ferredoxin iron-sulfur binding domain protein OS=Chlorobium limicola (strain DSM 245 / NBRC 103803 / 6330) GN=Clim_2441 PE=4 SV=1 K00240
0_1	tr|A1BCP3|A1BCP3_CHLPD	257	447.0	0.854684512428	2.64e-159	257.0	78.988		Succinate dehydrogenase subunit B OS=Chlorobium phaeobacteroides (strain DSM 266) GN=Cpha266_0100 PE=4 SV=1 K00240
0_1	tr|Q3B159|Q3B159_CHLL7	251	427.0	0.816443594646	2.22e-151	251.0	84.462		Succinate dehydrogenase subunit B OS=Chlorobium luteolum (strain DSM 273 / 2530) GN=Plut_2080 PE=4 SV=1 K00240
0_1	tr|B3QLS6|B3QLS6_CHLP8	251	427.0	0.816443594646	2.36e-151	251.0	78.088		4Fe-4S ferredoxin iron-sulfur binding domain protein OS=Chlorobaculum parvum (strain NCIB 8327) GN=Cpar_2025 PE=4 SV=1 K00240
